"from","to","weight","pair_type","from_role","to_role"
"22B0","8C52",0.444444444444444,"mother-daughter","mother","daughter"
"22B0","8B80",0.142857142857143,"other","mother","daughter"
"22B0","922C",0.153846153846154,"other","mother","daughter"
"22B0","9907",0.181818181818182,"other","mother","daughter"
"22B0","B0C8",0.05,"other","mother","daughter"
"22B0","FB4B",0.117647058823529,"other","mother","daughter"
"22B0","0A62",0.0434782608695652,"other","mother","daughter"
"22B0","0F3D",0.0909090909090909,"other","mother","daughter"
"22B0","0636",0.15,"other","mother","daughter"
"8787","8C52",0.2,"other","mother","daughter"
"8787","8B80",0.0952380952380952,"other","mother","daughter"
"8787","922C",0.05,"other","mother","daughter"
"8787","9907",0.0625,"other","mother","daughter"
"8C52","879F",0.392857142857143,"other","daughter","mother"
"8C52","418B",0.214285714285714,"other","daughter","mother"
"8C52","F44A",0.137931034482759,"other","daughter","mother"
"8C52","44BD",0.166666666666667,"other","daughter","mother"
"8C52","2D31",0.172413793103448,"other","daughter","mother"
"8C52","BF04",0.032258064516129,"other","daughter","mother"
"8C52","41C1",0.04,"other","daughter","mother"
"8C52","E063",0.0769230769230769,"other","daughter","mother"
"8C52","AA3C",0.37037037037037,"other","daughter","mother"
"8C52","5939",0.0333333333333333,"other","daughter","mother"
"8C52","A816",0.192307692307692,"other","daughter","mother"
"8C52","A24D",0.107142857142857,"other","daughter","mother"
"8C52","D4DC",0.08,"other","daughter","mother"
"8C52","F377",0.107142857142857,"other","daughter","mother"
"8C52","D629",0.03125,"other","daughter","mother"
"8C52","663E",0.0689655172413793,"other","daughter","mother"
"879F","8B80",0.185185185185185,"other","mother","daughter"
"879F","922C",0.111111111111111,"other","mother","daughter"
"879F","9907",0.0833333333333333,"other","mother","daughter"
"879F","FB4B",0.0555555555555556,"other","mother","daughter"
"879F","0A62",0.0434782608695652,"other","mother","daughter"
"879F","0F3D",0.0434782608695652,"mother-daughter","mother","daughter"
"879F","0636",0.0454545454545455,"other","mother","daughter"
"418B","8B80",0.285714285714286,"other","mother","daughter"
"418B","922C",0.25,"other","mother","daughter"
"418B","9907",0.05,"other","mother","daughter"
"418B","FB4B",0.0769230769230769,"other","mother","daughter"
"418B","0F3D",0.0555555555555556,"other","mother","daughter"
"418B","0636",0.125,"other","mother","daughter"
"418B","F948",0.0909090909090909,"other","mother","daughter"
"8B80","F44A",0.0833333333333333,"other","daughter","mother"
"8B80","44BD",0.217391304347826,"other","daughter","mother"
"8B80","2D31",0.227272727272727,"mother-daughter","daughter","mother"
"8B80","41C1",0.0555555555555556,"other","daughter","mother"
"8B80","E063",0.105263157894737,"other","daughter","mother"
"8B80","AA3C",0.2,"other","daughter","mother"
"8B80","A816",0.142857142857143,"other","daughter","mother"
"8B80","A24D",0.263157894736842,"other","daughter","mother"
"8B80","D4DC",0.0526315789473684,"other","daughter","mother"
"8B80","F377",0.142857142857143,"other","daughter","mother"
"F44A","922C",0.263157894736842,"mother-daughter","mother","daughter"
"F44A","9907",0.176470588235294,"other","mother","daughter"
"44BD","922C",0.181818181818182,"other","mother","daughter"
"44BD","9907",0.157894736842105,"other","mother","daughter"
"44BD","0F3D",0.0526315789473684,"other","mother","daughter"
"2D31","922C",0.315789473684211,"other","mother","daughter"
"2D31","9907",0.3125,"other","mother","daughter"
"2D31","B0C8",0.0666666666666667,"other","mother","daughter"
"2D31","FB4B",0.272727272727273,"other","mother","daughter"
"2D31","0A62",0.117647058823529,"other","mother","daughter"
"2D31","0F3D",0.266666666666667,"other","mother","daughter"
"2D31","0636",0.384615384615385,"other","mother","daughter"
"2D31","F948",0.0909090909090909,"other","mother","daughter"
"922C","41C1",0.133333333333333,"other","daughter","mother"
"922C","E063",0.1875,"other","daughter","mother"
"922C","AA3C",0.272727272727273,"other","daughter","mother"
"922C","5939",0.0476190476190476,"other","daughter","mother"
"922C","A816",0.1,"other","daughter","mother"
"922C","A24D",0.294117647058824,"other","daughter","mother"
"922C","D4DC",0.0588235294117647,"other","daughter","mother"
"922C","F377",0.157894736842105,"other","daughter","mother"
"BF04","9907",0.0555555555555556,"other","mother","daughter"
"BF04","054D",0.1,"other","mother","daughter"
"BF04","0F3D",0.0625,"other","mother","daughter"
"41C1","9907",0.3,"other","mother","daughter"
"E063","9907",0.363636363636364,"other","mother","daughter"
"AA3C","9907",0.333333333333333,"other","mother","daughter"
"AA3C","B0C8",0.117647058823529,"other","mother","daughter"
"AA3C","FB4B",0.133333333333333,"other","mother","daughter"
"AA3C","0A62",0.157894736842105,"mother-daughter","mother","daughter"
"AA3C","0F3D",0.375,"other","mother","daughter"
"AA3C","0636",0.235294117647059,"other","mother","daughter"
"AA3C","F948",0.0714285714285714,"other","mother","daughter"
"5939","9907",0.2,"other","mother","daughter"
"5939","B0C8",0.0833333333333333,"other","mother","daughter"
"5939","0A62",0.142857142857143,"other","mother","daughter"
"A816","9907",0.2,"other","mother","daughter"
"A816","B0C8",0.0833333333333333,"mother-daughter","mother","daughter"
"A816","0A62",0.0666666666666667,"other","mother","daughter"
"A816","0F3D",0.0666666666666667,"other","mother","daughter"
"A816","0636",0.0714285714285714,"other","mother","daughter"
"9907","A24D",0.384615384615385,"mother-daughter","daughter","mother"
"9907","F377",0.2,"other","daughter","mother"
"9907","663E",0.0588235294117647,"other","daughter","mother"
"A24D","B0C8",0.0833333333333333,"other","mother","daughter"
"A24D","0A62",0.0666666666666667,"other","mother","daughter"
"F377","0A62",0.0666666666666667,"other","mother","daughter"
"663E","B0C8",0.0833333333333333,"other","mother","daughter"
"663E","0A62",0.142857142857143,"other","mother","daughter"
